Word,Frequency
crowd,7
storm,7
driving,7
leave,7
surely,7
horribly,7
understand,7
passage,7
piled,7
box,7
leaping,7
lift,7
thunder,7
knowing,7
retirement,7
shattering,7
throwing,7
started,7
wanted,7
jacket,7
clearly,7
charging,7
mouth,7
pointed,7
mill,7
harvey,7
barricade,7
clip,7
pot,7
port,7
pepper,7
pink,7
author,6
state,6
country,6
join,6
instead,6
age,6
track,6
doe,6
observation,6
car,6
experience,6
accepted,6
regular,6
use,6
strap,6
remembered,6
impossible,6
amount,6
year,6
hun,6
worse,6
content,6
lightning,6
forth,6
appalling,6
kind,6
file,6
usual,6
making,6
shriek,6
meal,6
rushed,6
torrent,6
mate,6
direct,6
subaltern,6
nearest,6
darkness,6
bang,6
distant,6
drawn,6
friend,6
street,6
known,6
somewhat,6
throughout,6
quiet,6
single,6
simply,6
child,6
lit,6
cigarette,6
soft,6
reply,6
breaking,6
seein,6
tin,6
handle,6
brass,6
entanglement,6
answered,6
bottle,6
post,6
nothin,6
people,6
comin,6
week,6
aven,6
name,6
mine,6
concluded,6
woke,6
wrong,6
chorus,6
desperate,6
tone,6
slipped,6
listening,6
rise,6
ragged,6
bellowing,6
approaching,6
peered,6
muffled,6
formed,6
anyway,6
dugout,6
smack,6
crack,6
outer,6
bore,6
reduced,6
singing,6
halting,6
vision,6
led,6
escaped,6
blowing,6
covered,6
unbroken,6
instinctively,6
calling,6
tossed,6
haversack,6
shape,6
ugly,6
alive,6
stooping,6
hospital,6
exclamation,6
plainly,6
spurt,6
ole,6
thinking,6
serious,6
sprawled,6
fancy,6
english,6
haven,6
hiss,6
desperately,6
pulled,6
load,6
quicker,6
opposing,6
wind,6
coat,6
rending,6
groan,6
strong,6
helped,6
jumped,6
staring,6
w,6
dropping,6
command,6
reaching,6
decided,6
stay,6
plane,6
fling,6
pose,6
opposite,6
played,6
periscope,6
glass,6
memory,6
guard,6
aware,6
embrasure,6
streaming,6
banged,6
seeing,6
rim,6
jerking,6
cheering,6
built,6
mebbe,6
duel,6
mass,6
wi,6
throat,6
scent,6
monster,6
laughing,6
ask,6
orright,6
starboard,6
theh,6
among,5
neutral,5
become,5
spent,5
merely,5
write,5
office,5
offered,5
sleeve,5
trying,5
odd,5
am,5
bitter,5
blind,5
glory,5
truth,5
damp,5
fiery,5
gospel,5
ye,5
trumpet,5
retreat,5
soul,5
die,5
free,5
business,5
complete,5
exact,5
pack,5
grass,5
comment,5
mess,5
barn,5
roof,5
curious,5
wholly,5
thump,5
thud,5
