lemma,global_position,role,deprel,partner_lemma
pump,45545,head,compound,rusty
pump,45545,head,appos,thing
pump,45545,head,punct,.
:,45546,dependent,punct,thing
damn,45547,dependent,discourse,thing
the,45548,dependent,det,thing
thing,45549,dependent,appos,pump
thing,45549,head,punct,:
thing,45549,head,discourse,damn
thing,45549,head,det,the
thing,45549,head,amod,else
else,45550,dependent,amod,thing
.,45551,dependent,punct,pump
the,45552,dependent,det,resurrection
resurrection,45553,head,det,the
resurrection,45553,head,conj,life
resurrection,45553,head,punct,.
and,45554,dependent,cc,life
the,45555,dependent,det,life
life,45556,dependent,conj,resurrection
life,45556,head,cc,and
life,45556,head,det,the
.,45557,dependent,punct,resurrection
once,45558,dependent,mark,dead
you,45559,dependent,nsubj,dead
be,45560,dependent,cop,dead
dead,45561,dependent,advcl,dead
dead,45561,head,mark,once
dead,45561,head,nsubj,you
dead,45561,head,cop,be
you,45562,dependent,nsubj,dead
be,45563,dependent,cop,dead
dead,45564,head,advcl,dead
dead,45564,head,nsubj,you
dead,45564,head,cop,be
dead,45564,head,punct,.
.,45565,dependent,punct,dead
that,45566,dependent,det,idea
last,45567,dependent,amod,day
day,45568,dependent,compound,idea
day,45568,head,amod,last
idea,45569,head,det,that
idea,45569,head,compound,day
idea,45569,head,punct,.
.,45570,dependent,punct,idea
knock,45571,head,obj,they
knock,45571,head,compound:prt,up
knock,45571,head,obl,grave
knock,45571,head,punct,.
they,45572,dependent,obj,knock
they,45572,head,det,all
all,45573,dependent,det,they
up,45574,dependent,compound:prt,knock
out,45575,dependent,case,grave
of,45576,dependent,case,grave
their,45577,dependent,nmod:poss,grave
grave,45578,dependent,obl,knock
grave,45578,head,case,out
grave,45578,head,case,of
grave,45578,head,nmod:poss,their
.,45579,dependent,punct,knock
come,45580,head,advmod,forth
come,45580,head,vocative,lazarus
come,45580,head,punct,!
forth,45581,dependent,advmod,come
",",45582,dependent,punct,lazarus
lazarus,45583,dependent,vocative,come
lazarus,45583,head,punct,","
!,45584,dependent,punct,come
and,45585,dependent,cc,come
he,45586,dependent,nsubj,come
come,45587,head,cc,and
come,45587,head,nsubj,he
come,45587,head,xcomp,fifth
come,45587,head,conj,lose
come,45587,head,punct,.
fifth,45588,dependent,xcomp,come
and,45589,dependent,cc,lose
lose,45590,dependent,conj,come
lose,45590,head,cc,and
lose,45590,head,obj,job
the,45591,dependent,det,job
job,45592,dependent,obj,lose
job,45592,head,det,the
.,45593,dependent,punct,come
get,45594,head,compound:prt,up
get,45594,head,punct,!
up,45595,dependent,compound:prt,get
!,45596,dependent,punct,get
last,45597,dependent,amod,day
day,45598,head,amod,last
day,45598,head,punct,!
!,45599,dependent,punct,day
then,45600,dependent,advmod,mousing
every,45601,dependent,det,mousing
fellow,45602,dependent,amod,mousing
mousing,45603,head,advmod,then
mousing,45603,head,det,every
mousing,45603,head,amod,fellow
mousing,45603,head,advmod,around
mousing,45603,head,nmod,liver
mousing,45603,head,punct,.
around,45604,dependent,advmod,mousing
for,45605,dependent,case,liver
his,45606,dependent,nmod:poss,liver
liver,45607,dependent,nmod,mousing
liver,45607,head,case,for
liver,45607,head,nmod:poss,his
liver,45607,head,conj,light
liver,45607,head,conj,rest
and,45608,dependent,cc,light
his,45609,dependent,nmod:poss,light
light,45610,dependent,conj,liver
light,45610,head,cc,and
light,45610,head,nmod:poss,his
and,45611,dependent,cc,rest
the,45612,dependent,det,rest
rest,45613,dependent,conj,liver
rest,45613,head,cc,and
rest,45613,head,det,the
rest,45613,head,nmod,trap
of,45614,dependent,case,trap
his,45615,dependent,nmod:poss,trap
trap,45616,dependent,nmod,rest
trap,45616,head,case,of
trap,45616,head,nmod:poss,his
.,45617,dependent,punct,mousing
find,45618,head,advmod,damn
find,45618,head,obj,all
find,45618,head,obl:unmarked,morning
find,45618,head,punct,.
damn,45619,dependent,advmod,find
all,45620,dependent,obj,find
all,45620,head,nmod,himself
of,45621,dependent,case,himself
himself,45622,dependent,nmod,all
himself,45622,head,case,of
that,45623,dependent,det,morning
morning,45624,dependent,obl:unmarked,find
morning,45624,head,det,that
.,45625,dependent,punct,find
pennyweight,45626,head,nmod,powder
pennyweight,45626,head,nmod,skull
pennyweight,45626,head,punct,.
of,45627,dependent,case,powder
powder,45628,dependent,nmod,pennyweight
powder,45628,head,case,of
in,45629,dependent,case,skull
a,45630,dependent,det,skull
skull,45631,dependent,nmod,pennyweight
skull,45631,head,case,in
skull,45631,head,det,a
.,45632,dependent,punct,pennyweight
twelve,45633,dependent,nummod,gramme
gramme,45634,head,nummod,twelve
gramme,45634,head,nmod:unmarked,pennyweight
gramme,45634,head,punct,.
one,45635,dependent,nummod,pennyweight
pennyweight,45636,dependent,nmod:unmarked,gramme
pennyweight,45636,head,nummod,one
.,45637,dependent,punct,gramme
troy,45638,dependent,compound,measure
measure,45639,head,compound,troy
measure,45639,head,punct,.
.,45640,dependent,punct,measure
corny,45641,dependent,nsubj,fall
corny,45641,head,flat,kelleher
kelleher,45642,dependent,flat,corny
fall,45643,head,nsubj,corny
fall,45643,head,obl,step
fall,45643,head,obl,side
fall,45643,head,punct,.
into,45644,dependent,case,step
step,45645,dependent,obl,fall
step,45645,head,case,into
at,45646,dependent,case,side
their,45647,dependent,nmod:poss,side
side,45648,dependent,obl,fall
side,45648,head,case,at
side,45648,head,nmod:poss,their
.,45649,dependent,punct,fall
—,45650,dependent,punct,go
everything,45651,dependent,nsubj,go
go,45652,dependent,ccomp,say
go,45652,head,punct,—
go,45652,head,nsubj,everything
go,45652,head,obl,a1
go,45652,head,punct,","
off,45653,dependent,case,a1
a1,45654,dependent,obl,go
a1,45654,head,case,off
",",45655,dependent,punct,go
he,45656,dependent,nsubj,say
say,45657,head,ccomp,go
say,45657,head,nsubj,he
say,45657,head,punct,.
.,45658,dependent,punct,say
what,45659,head,punct,?
?,45660,dependent,punct,what
he,45661,dependent,nsubj,look
look,45662,head,nsubj,he
look,45662,head,obl,they
look,45662,head,obl,eye
look,45662,head,punct,.
on,45663,dependent,case,they
they,45664,dependent,obl,look
they,45664,head,case,on
from,45665,dependent,case,eye
his,45666,dependent,nmod:poss,eye
drawling,45667,dependent,compound,eye
eye,45668,dependent,obl,look
eye,45668,head,case,from
eye,45668,head,nmod:poss,his
eye,45668,head,compound,drawling
.,45669,dependent,punct,look
policeman,45670,dependent,nmod:poss,shoulder
policeman,45670,head,case,'s
's,45671,dependent,case,policeman
shoulder,45672,head,nmod:poss,policeman
shoulder,45672,head,punct,.
.,45673,dependent,punct,shoulder
with,45674,dependent,case,tooraloom
your,45675,dependent,nmod:poss,tooraloom
tooraloom,45676,dependent,compound,tooraloom
tooraloom,45677,head,case,with
tooraloom,45677,head,nmod:poss,your
tooraloom,45677,head,compound,tooraloom
tooraloom,45677,head,punct,.
.,45678,dependent,punct,tooraloom
—,45679,dependent,punct,say
as,45680,dependent,mark,be
it,45681,dependent,nsubj,be
should,45682,dependent,aux,be
be,45683,dependent,advcl,say
be,45683,head,mark,as
be,45683,head,nsubj,it
be,45683,head,aux,should
be,45683,head,punct,","
",",45684,dependent,punct,be
mr,45685,dependent,nsubj,say
mr,45685,head,flat,kernan
kernan,45686,dependent,flat,mr
say,45687,head,punct,—
say,45687,head,advcl,be
say,45687,head,nsubj,mr
say,45687,head,punct,.
.,45688,dependent,punct,say
—,45689,dependent,punct,what
what,45690,head,punct,—
what,45690,head,punct,?
?,45691,dependent,punct,what
eh?,45692,dependent,discourse,say
corny,45693,dependent,nsubj,say
corny,45693,head,flat,kelleher
kelleher,45694,dependent,flat,corny
say,45695,head,discourse,eh?
say,45695,head,nsubj,corny
say,45695,head,punct,.
.,45696,dependent,punct,say
mr,45697,dependent,nsubj,assure
mr,45697,head,flat,kernan
kernan,45698,dependent,flat,mr
assure,45699,head,nsubj,mr
assure,45699,head,iobj,he
assure,45699,head,punct,.
he,45700,dependent,iobj,assure
.,45701,dependent,punct,assure
—,45702,dependent,punct,who
who,45703,head,punct,—
who,45703,head,cop,be
who,45703,head,nsubj,chap
who,45703,head,punct,?
be,45704,dependent,cop,who
that,45705,dependent,det,chap
chap,45706,dependent,nsubj,who
chap,45706,head,det,that
chap,45706,head,nmod,tom
behind,45707,dependent,case,tom
with,45708,dependent,case,tom
tom,45709,dependent,nmod,chap
tom,45709,head,case,behind
tom,45709,head,case,with
tom,45709,head,flat,kernan
kernan,45710,dependent,flat,tom
?,45711,dependent,punct,who
john,45712,dependent,nsubj,ask
john,45712,head,flat,henry
john,45712,head,flat,menton
henry,45713,dependent,flat,john
menton,45714,dependent,flat,john
ask,45715,head,nsubj,john
ask,45715,head,punct,.
.,45716,dependent,punct,ask
i,45717,dependent,nsubj,know
know,45718,head,nsubj,i
know,45718,head,obj,face
know,45718,head,punct,.
his,45719,dependent,nmod:poss,face
face,45720,dependent,obj,know
face,45720,head,nmod:poss,his
.,45721,dependent,punct,know
ned,45722,dependent,nsubj,glance
ned,45722,head,flat,lambert
lambert,45723,dependent,flat,ned
glance,45724,head,nsubj,ned
glance,45724,head,advmod,back
glance,45724,head,punct,.
back,45725,dependent,advmod,glance
.,45726,dependent,punct,glance
—,45727,dependent,punct,bloom
bloom,45728,dependent,ccomp,say
bloom,45728,head,punct,—
bloom,45728,head,punct,","
",",45729,dependent,punct,bloom
he,45730,dependent,nsubj,say
say,45731,head,ccomp,bloom
say,45731,head,nsubj,he
say,45731,head,nsubj,madame
",",45732,dependent,punct,madame
madame,45733,dependent,nsubj,say
madame,45733,head,punct,","
madame,45733,head,flat,marion
marion,45734,dependent,flat,madame
tweedy,45735,dependent,vocative,soprano
tweedy,45735,head,acl:relcl,be
that,45736,dependent,nsubj,be
be,45737,dependent,acl:relcl,tweedy
be,45737,head,nsubj,that
",",45738,dependent,punct,be
be,45739,dependent,reparandum,soprano
be,45739,head,punct,","
be,45739,head,punct,","
",",45740,dependent,punct,be
i,45741,dependent,nsubj,mean
mean,45742,dependent,parataxis,soprano
mean,45742,head,nsubj,i
mean,45742,head,punct,","
",",45743,dependent,punct,mean
the,45744,dependent,det,soprano
soprano,45745,head,vocative,tweedy
soprano,45745,head,reparandum,be
soprano,45745,head,parataxis,mean
soprano,45745,head,det,the
soprano,45745,head,punct,.
.,45746,dependent,punct,soprano
she,45747,dependent,nsubj,wife
be,45748,dependent,cop,wife
his,45749,dependent,nmod:poss,wife
wife,45750,head,nsubj,she
wife,45750,head,cop,be
wife,45750,head,nmod:poss,his
wife,45750,head,punct,.
.,45751,dependent,punct,wife
—,45752,dependent,punct,o
o,45753,dependent,ccomp,say
o,45753,head,punct,—
o,45753,head,punct,","
",",45754,dependent,punct,o
to,45755,dependent,mark,sure
be,45756,dependent,cop,sure
sure,45757,dependent,ccomp,say
sure,45757,head,mark,to
sure,45757,head,cop,be
sure,45757,head,punct,","
",",45758,dependent,punct,sure
john,45759,dependent,nsubj,say
john,45759,head,flat,henry
john,45759,head,flat,menton
henry,45760,dependent,flat,john
menton,45761,dependent,flat,john
say,45762,head,ccomp,o
say,45762,head,ccomp,sure
say,45762,head,nsubj,john
say,45762,head,punct,.
.,45763,dependent,punct,say
i,45764,dependent,nsubj,see
have,45765,dependent,aux,see
not,45766,dependent,advmod,see
see,45767,head,nsubj,i
see,45767,head,aux,have
see,45767,head,advmod,not
see,45767,head,obj,her
see,45767,head,obl,time
see,45767,head,punct,.
her,45768,dependent,obj,see
for,45769,dependent,case,time
some,45770,dependent,det,time
time,45771,dependent,obl,see
time,45771,head,case,for
time,45771,head,det,some
.,45772,dependent,punct,see
she,45773,dependent,nsubj,woman
be,45774,dependent,cop,woman
a,45775,dependent,det,woman
finelooking,45776,dependent,amod,woman
woman,45777,head,nsubj,she
woman,45777,head,cop,be
woman,45777,head,det,a
woman,45777,head,amod,finelooking
woman,45777,head,punct,.
.,45778,dependent,punct,woman
i,45779,dependent,nsubj,dance
dance,45780,head,nsubj,i
dance,45780,head,obl,her
dance,45780,head,conj,wait
dance,45780,head,punct,.
with,45781,dependent,case,her
her,45782,dependent,obl,dance
her,45782,head,case,with
",",45783,dependent,punct,wait
wait,45784,dependent,conj,dance
wait,45784,head,punct,","
wait,45784,head,advmod,ago
wait,45784,head,obl,roundtown
",",45785,dependent,punct,ago
fifteen,45786,dependent,compound,seventeen
seventeen,45787,dependent,nummod,year
seventeen,45787,head,compound,fifteen
golden,45788,dependent,amod,year
year,45789,dependent,obl:unmarked,ago
year,45789,head,nummod,seventeen
year,45789,head,amod,golden
ago,45790,dependent,advmod,wait
ago,45790,head,punct,","
ago,45790,head,obl:unmarked,year
",",45791,dependent,punct,roundtown
at,45792,dependent,case,roundtown
mat,45793,dependent,nmod:poss,roundtown
mat,45793,head,flat,dillon
mat,45793,head,case,'s
dillon,45794,dependent,flat,mat
's,45795,dependent,case,mat
in,45796,dependent,case,roundtown
roundtown,45797,dependent,obl,wait
roundtown,45797,head,punct,","
roundtown,45797,head,case,at
roundtown,45797,head,nmod:poss,mat
roundtown,45797,head,case,in
.,45798,dependent,punct,dance
and,45799,dependent,cc,armful
a,45800,dependent,det,armful
good,45801,dependent,amod,armful
armful,45802,head,cc,and
armful,45802,head,det,a
armful,45802,head,amod,good
armful,45802,head,acl:relcl,be
armful,45802,head,punct,.
she,45803,dependent,nsubj,be
be,45804,dependent,acl:relcl,armful
be,45804,head,nsubj,she
.,45805,dependent,punct,armful
he,45806,dependent,nsubj,look
look,45807,head,nsubj,he
look,45807,head,advmod,behind
look,45807,head,obl,other
look,45807,head,punct,.
behind,45808,dependent,advmod,look
through,45809,dependent,case,other
the,45810,dependent,det,other
other,45811,dependent,obl,look
other,45811,head,case,through
other,45811,head,det,the
.,45812,dependent,punct,look
—,45813,dependent,punct,what
what,45814,head,punct,—
what,45814,head,cop,be
what,45814,head,nsubj,he
what,45814,head,punct,?
be,45815,dependent,cop,what
he,45816,dependent,nsubj,what
?,45817,dependent,punct,what
he,45818,dependent,nsubj,ask
ask,45819,head,nsubj,he
ask,45819,head,punct,.
.,45820,dependent,punct,ask
what,45821,dependent,obj,do
do,45822,dependent,aux,do
he,45823,dependent,nsubj,do
do,45824,head,obj,what
do,45824,head,aux,do
do,45824,head,nsubj,he
do,45824,head,punct,?
?,45825,dependent,punct,do
be,45826,dependent,cop,line
not,45827,dependent,advmod,line
he,45828,dependent,nsubj,line
in,45829,dependent,case,line
the,45830,dependent,det,line
stationery,45831,dependent,compound,line
line,45832,head,cop,be
line,45832,head,advmod,not
line,45832,head,nsubj,he
line,45832,head,case,in
line,45832,head,det,the
line,45832,head,compound,stationery
line,45832,head,punct,?
?,45833,dependent,punct,line
i,45834,dependent,nsubj,fall
fall,45835,head,nsubj,i
fall,45835,head,advmod,foul
fall,45835,head,obl,he
fall,45835,head,obl:unmarked,evening
fall,45835,head,parataxis,remember
fall,45835,head,punct,.
foul,45836,dependent,advmod,fall
of,45837,dependent,case,he
he,45838,dependent,obl,fall
he,45838,head,case,of
one,45839,dependent,nummod,evening
evening,45840,dependent,obl:unmarked,fall
evening,45840,head,nummod,one
",",45841,dependent,punct,remember
i,45842,dependent,nsubj,remember
remember,45843,dependent,parataxis,fall
remember,45843,head,punct,","
remember,45843,head,nsubj,i
remember,45843,head,obl,bowl
",",45844,dependent,punct,bowl
at,45845,dependent,case,bowl
bowl,45846,dependent,obl,remember
bowl,45846,head,punct,","
bowl,45846,head,case,at
.,45847,dependent,punct,fall
ned,45848,dependent,nsubj,smile
ned,45848,head,flat,lambert
lambert,45849,dependent,flat,ned
smile,45850,head,nsubj,ned
smile,45850,head,punct,.
.,45851,dependent,punct,smile
—,45852,dependent,punct,yes
yes,45853,dependent,discourse,say
yes,45853,head,punct,—
yes,45853,head,punct,","
",",45854,dependent,punct,yes
he,45855,dependent,nsubj,be
be,45856,dependent,reparandum,say
be,45856,head,nsubj,he
be,45856,head,punct,","
",",45857,dependent,punct,be
he,45858,dependent,nsubj,say
say,45859,head,discourse,yes
say,45859,head,reparandum,be
say,45859,head,nsubj,he
say,45859,head,obl,wisdom
say,45859,head,punct,.
",",45860,dependent,punct,wisdom
in,45861,dependent,case,wisdom
wisdom,45862,dependent,obl,say
wisdom,45862,head,punct,","
wisdom,45862,head,case,in
wisdom,45862,head,flat,hely
wisdom,45862,head,case,'s
hely,45863,dependent,flat,wisdom
's,45864,dependent,case,wisdom
.,45865,dependent,punct,say
a,45866,dependent,det,traveller
traveller,45867,head,det,a
traveller,45867,head,nmod,blottingpaper
traveller,45867,head,punct,.
for,45868,dependent,case,blottingpaper
blottingpaper,45869,dependent,nmod,traveller
blottingpaper,45869,head,case,for
.,45870,dependent,punct,traveller
—,45871,dependent,punct,say
in,45872,dependent,case,name
god,45873,dependent,nmod:poss,name
god,45873,head,case,'s
's,45874,dependent,case,god
name,45875,dependent,obl,say
name,45875,head,case,in
name,45875,head,nmod:poss,god
name,45875,head,punct,","
",",45876,dependent,punct,name
john,45877,dependent,nsubj,say
john,45877,head,flat,henry
john,45877,head,flat,menton
henry,45878,dependent,flat,john
menton,45879,dependent,flat,john
say,45880,head,punct,—
say,45880,head,obl,name
say,45880,head,nsubj,john
say,45880,head,ccomp,marry
say,45880,head,punct,?
",",45881,dependent,punct,marry
what,45882,dependent,obj,marry
what,45882,head,case,for
do,45883,dependent,aux,marry
she,45884,dependent,nsubj,marry
marry,45885,dependent,ccomp,say
marry,45885,head,punct,","
marry,45885,head,obj,what
marry,45885,head,aux,do
marry,45885,head,nsubj,she
marry,45885,head,obj,coon
marry,45885,head,obl,that
a,45886,dependent,det,coon
coon,45887,dependent,obj,marry
coon,45887,head,det,a
like,45888,dependent,case,that
that,45889,dependent,obl,marry
that,45889,head,case,like
for,45890,dependent,case,what
?,45891,dependent,punct,say
she,45892,dependent,nsubj,have
have,45893,head,nsubj,she
have,45893,head,obj,plenty
have,45893,head,obl,her
have,45893,head,advmod,then
have,45893,head,punct,.
plenty,45894,dependent,obj,have
plenty,45894,head,nmod,game
of,45895,dependent,case,game
game,45896,dependent,nmod,plenty
game,45896,head,case,of
in,45897,dependent,case,her
her,45898,dependent,obl,have
her,45898,head,case,in
then,45899,dependent,advmod,have
.,45900,dependent,punct,have
—,45901,dependent,punct,have
have,45902,dependent,ccomp,say
have,45902,head,punct,—
have,45902,head,advmod,still
have,45902,head,punct,","
still,45903,dependent,advmod,have
",",45904,dependent,punct,have
ned,45905,dependent,nsubj,say
ned,45905,head,flat,lambert
lambert,45906,dependent,flat,ned
say,45907,head,ccomp,have
say,45907,head,nsubj,ned
say,45907,head,punct,.
.,45908,dependent,punct,say
he,45909,dependent,nsubj,do
do,45910,head,nsubj,he
do,45910,head,obj,canvassing
do,45910,head,obl,ad
do,45910,head,punct,.
some,45911,dependent,det,canvassing
canvassing,45912,dependent,obj,do
canvassing,45912,head,det,some
for,45913,dependent,case,ad
ad,45914,dependent,obl,do
ad,45914,head,case,for
.,45915,dependent,punct,do
john,45916,dependent,nmod:poss,eye
john,45916,head,flat,henry
john,45916,head,flat,menton
john,45916,head,case,'s
henry,45917,dependent,flat,john
menton,45918,dependent,flat,john
's,45919,dependent,case,john
large,45920,dependent,amod,eye
eye,45921,dependent,nsubj,stare
eye,45921,head,nmod:poss,john
eye,45921,head,amod,large
stare,45922,head,nsubj,eye
stare,45922,head,advmod,ahead
stare,45922,head,punct,.
ahead,45923,dependent,advmod,stare
.,45924,dependent,punct,stare
the,45925,dependent,det,barrow
barrow,45926,dependent,nsubj,turn
barrow,45926,head,det,the
turn,45927,head,nsubj,barrow
turn,45927,head,obl,lane
turn,45927,head,punct,.
into,45928,dependent,case,lane
a,45929,dependent,det,lane
side,45930,dependent,compound,lane
lane,45931,dependent,obl,turn
lane,45931,head,case,into
lane,45931,head,det,a
lane,45931,head,compound,side
.,45932,dependent,punct,turn
a,45933,dependent,det,man
portly,45934,dependent,amod,man
man,45935,dependent,nsubj,raise
man,45935,head,det,a
man,45935,head,amod,portly
man,45935,head,acl,ambush
man,45935,head,punct,","
",",45936,dependent,punct,ambush
ambush,45937,dependent,acl,man
ambush,45937,head,punct,","
ambush,45937,head,obl,grasse
among,45938,dependent,case,grasse
the,45939,dependent,det,grasse
grasse,45940,dependent,obl,ambush
grasse,45940,head,case,among
grasse,45940,head,det,the
",",45941,dependent,punct,man
raise,45942,head,nsubj,man
raise,45942,head,obj,hat
raise,45942,head,obl,homage
raise,45942,head,punct,.
his,45943,dependent,nmod:poss,hat
hat,45944,dependent,obj,raise
hat,45944,head,nmod:poss,his
in,45945,dependent,case,homage
homage,45946,dependent,obl,raise
homage,45946,head,case,in
.,45947,dependent,punct,raise
the,45948,dependent,det,gravedigger
gravedigger,45949,dependent,nsubj,touch
gravedigger,45949,head,det,the
touch,45950,head,nsubj,gravedigger
touch,45950,head,obj,cap
touch,45950,head,punct,.
their,45951,dependent,nmod:poss,cap
cap,45952,dependent,obj,touch
cap,45952,head,nmod:poss,their
.,45953,dependent,punct,touch
—,45954,dependent,punct,john
john,45955,dependent,nsubj,say
john,45955,head,punct,—
john,45955,head,flat,o’connell
john,45955,head,punct,","
o’connell,45956,dependent,flat,john
",",45957,dependent,punct,john
mr,45958,dependent,nsubj,say
mr,45958,head,flat,power
power,45959,dependent,flat,mr
say,45960,head,nsubj,john
say,45960,head,nsubj,mr
say,45960,head,xcomp,pleased
say,45960,head,punct,.
pleased,45961,dependent,xcomp,say
.,45962,dependent,punct,say
he,45963,dependent,nsubj,forget
never,45964,dependent,advmod,forget
forget,45965,head,nsubj,he
forget,45965,head,advmod,never
forget,45965,head,obj,friend
forget,45965,head,punct,.
a,45966,dependent,det,friend
friend,45967,dependent,obj,forget
friend,45967,head,det,a
.,45968,dependent,punct,forget
mr,45969,dependent,nsubj,shake
mr,45969,head,flat,o’connell
o’connell,45970,dependent,flat,mr
shake,45971,head,nsubj,mr
shake,45971,head,obj,hand
shake,45971,head,obl,silence
shake,45971,head,punct,.
all,45972,dependent,det:predet,hand
their,45973,dependent,nmod:poss,hand
hand,45974,dependent,obj,shake
hand,45974,head,det:predet,all
hand,45974,head,nmod:poss,their
in,45975,dependent,case,silence
silence,45976,dependent,obl,shake
silence,45976,head,case,in
.,45977,dependent,punct,shake
mr,45978,dependent,nsubj,say
mr,45978,head,flat,dedalus
dedalus,45979,dependent,flat,mr
say,45980,head,nsubj,mr
say,45980,head,punct,:
:,45981,dependent,punct,say
—,45982,dependent,punct,come
i,45983,dependent,nsubj,come
be,45984,dependent,aux,come
come,45985,head,punct,—
come,45985,head,nsubj,i
come,45985,head,aux,be
come,45985,head,xcomp,pay
come,45985,head,punct,.
to,45986,dependent,mark,pay
pay,45987,dependent,xcomp,come
pay,45987,head,mark,to
pay,45987,head,iobj,you
pay,45987,head,obj,visit
you,45988,dependent,iobj,pay
another,45989,dependent,det,visit
visit,45990,dependent,obj,pay
visit,45990,head,det,another
.,45991,dependent,punct,come
—,45992,dependent,punct,answer
my,45993,dependent,nmod:poss,simon
dear,45994,dependent,amod,simon
simon,45995,dependent,vocative,answer
simon,45995,head,nmod:poss,my
simon,45995,head,amod,dear
simon,45995,head,punct,","
",",45996,dependent,punct,simon
the,45997,dependent,det,caretaker
caretaker,45998,dependent,nsubj,answer
caretaker,45998,head,det,the
answer,45999,head,punct,—
answer,45999,head,vocative,simon
answer,45999,head,nsubj,caretaker
answer,45999,head,obl,voice
answer,45999,head,punct,.
in,46000,dependent,case,voice
a,46001,dependent,det,voice
low,46002,dependent,amod,voice
voice,46003,dependent,obl,answer
voice,46003,head,case,in
voice,46003,head,det,a
voice,46003,head,amod,low
.,46004,dependent,punct,answer
i,46005,dependent,nsubj,want
do,46006,dependent,aux,want
not,46007,dependent,advmod,want
want,46008,head,nsubj,i
want,46008,head,aux,do
want,46008,head,advmod,not
want,46008,head,obj,custom
want,46008,head,obl,all
want,46008,head,punct,.
your,46009,dependent,nmod:poss,custom
custom,46010,dependent,obj,want
custom,46010,head,nmod:poss,your
at,46011,dependent,case,all
all,46012,dependent,obl,want
all,46012,head,case,at
.,46013,dependent,punct,want
salute,46014,dependent,csubj,walk
salute,46014,head,obj,ned
ned,46015,dependent,obj,salute
ned,46015,head,flat,lambert
ned,46015,head,conj,john
lambert,46016,dependent,flat,ned
and,46017,dependent,cc,john
john,46018,dependent,conj,ned
john,46018,head,cc,and
john,46018,head,flat,henry
john,46018,head,flat,menton
henry,46019,dependent,flat,john
menton,46020,dependent,flat,john
he,46021,dependent,nsubj,walk
walk,46022,head,csubj,salute
walk,46022,head,nsubj,he
walk,46022,head,compound:prt,on
walk,46022,head,obl,side
walk,46022,head,advcl,puzzle
walk,46022,head,punct,.
on,46023,dependent,compound:prt,walk
at,46024,dependent,case,side
martin,46025,dependent,nmod:poss,side
martin,46025,head,flat,cunningham
martin,46025,head,case,'s
cunningham,46026,dependent,flat,martin
's,46027,dependent,case,martin
side,46028,dependent,obl,walk
side,46028,head,case,at
side,46028,head,nmod:poss,martin
puzzle,46029,dependent,advcl,walk
puzzle,46029,head,obj,key
puzzle,46029,head,obl,back
two,46030,dependent,nummod,key
long,46031,dependent,amod,key
key,46032,dependent,obj,puzzle
key,46032,head,nummod,two
key,46032,head,amod,long
at,46033,dependent,case,back
his,46034,dependent,nmod:poss,back
back,46035,dependent,obl,puzzle
back,46035,head,case,at
back,46035,head,nmod:poss,his
.,46036,dependent,punct,walk
—,46037,dependent,punct,hear
do,46038,dependent,aux,hear
you,46039,dependent,nsubj,hear
hear,46040,head,punct,—
hear,46040,head,aux,do
hear,46040,head,nsubj,you
hear,46040,head,obj,one
hear,46040,head,parataxis,ask
hear,46040,head,punct,?
that,46041,dependent,det,one
one,46042,dependent,obj,hear
one,46042,head,det,that
",",46043,dependent,punct,ask
he,46044,dependent,nsubj,ask
ask,46045,dependent,parataxis,hear
ask,46045,head,punct,","
ask,46045,head,nsubj,he
ask,46045,head,iobj,they
ask,46045,head,obl,mulcahy
they,46046,dependent,iobj,ask
",",46047,dependent,punct,mulcahy
about,46048,dependent,case,mulcahy
mulcahy,46049,dependent,obl,ask
mulcahy,46049,head,punct,","
mulcahy,46049,head,case,about
mulcahy,46049,head,nmod,coombe
from,46050,dependent,case,coombe
the,46051,dependent,det,coombe
coombe,46052,dependent,nmod,mulcahy
coombe,46052,head,case,from
coombe,46052,head,det,the
?,46053,dependent,punct,hear
—,46054,dependent,punct,do
i,46055,dependent,nsubj,do
do,46056,dependent,ccomp,say
do,46056,head,punct,—
do,46056,head,nsubj,i
do,46056,head,advmod,not
do,46056,head,punct,","
not,46057,dependent,advmod,do
",",46058,dependent,punct,do
martin,46059,dependent,nsubj,say
martin,46059,head,flat,cunningham
cunningham,46060,dependent,flat,martin
say,46061,head,ccomp,do
say,46061,head,nsubj,martin
say,46061,head,punct,.
.,46062,dependent,punct,say
they,46063,dependent,nsubj,bend
bend,46064,head,nsubj,they
bend,46064,head,obj,hat
bend,46064,head,obl,concert
bend,46064,head,conj,inclined
bend,46064,head,punct,.
their,46065,dependent,nmod:poss,hat
silk,46066,dependent,compound,hat
hat,46067,dependent,obj,bend
hat,46067,head,nmod:poss,their
hat,46067,head,compound,silk
in,46068,dependent,case,concert
concert,46069,dependent,obl,bend
concert,46069,head,case,in
and,46070,dependent,cc,inclined
hynes,46071,dependent,nsubj,inclined
inclined,46072,dependent,conj,bend
inclined,46072,head,cc,and
inclined,46072,head,nsubj,hynes
inclined,46072,head,obj,ear
his,46073,dependent,nmod:poss,ear
ear,46074,dependent,obj,inclined
ear,46074,head,nmod:poss,his
.,46075,dependent,punct,bend
the,46076,dependent,det,caretaker
caretaker,46077,dependent,nsubj,hang
caretaker,46077,head,det,the
hang,46078,head,nsubj,caretaker
hang,46078,head,obj,thumb
hang,46078,head,obl,loop
hang,46078,head,conj,speak
hang,46078,head,punct,.
his,46079,dependent,nmod:poss,thumb
