lemma,global_position,role,deprel,partner_lemma
this,301,head,acl,beloved
",",302,dependent,punct,this
o,303,dependent,nsubj,beloved
dearly,304,dependent,advmod,beloved
beloved,305,dependent,acl,this
beloved,305,head,nsubj,o
beloved,305,head,advmod,dearly
beloved,305,head,punct,","
",",306,dependent,punct,beloved
be,307,dependent,cop,christine
the,308,dependent,det,christine
genuine,309,dependent,amod,christine
christine,310,head,punct,—
christine,310,head,obl,this
christine,310,head,cop,be
christine,310,head,det,the
christine,310,head,amod,genuine
christine,310,head,appos,body
christine,310,head,punct,.
:,311,dependent,punct,body
body,312,dependent,appos,christine
body,312,head,punct,:
body,312,head,conj,soul
body,312,head,conj,blood
body,312,head,conj,oun
and,313,dependent,cc,soul
soul,314,dependent,conj,body
soul,314,head,cc,and
and,315,dependent,cc,blood
blood,316,dependent,conj,body
blood,316,head,cc,and
and,317,dependent,cc,oun
oun,318,dependent,conj,body
oun,318,head,cc,and
.,319,dependent,punct,christine
slow,320,dependent,amod,music
music,321,head,amod,slow
music,321,head,discourse,please
music,321,head,punct,.
",",322,dependent,punct,please
please,323,dependent,discourse,music
please,323,head,punct,","
.,324,dependent,punct,music
shut,325,head,obj,eye
shut,325,head,vocative,gent
shut,325,head,punct,.
your,326,dependent,nmod:poss,eye
eye,327,dependent,obj,shut
eye,327,head,nmod:poss,your
",",328,dependent,punct,gent
gent,329,dependent,vocative,shut
gent,329,head,punct,","
.,330,dependent,punct,shut
one,331,dependent,nummod,moment
moment,332,head,nummod,one
moment,332,head,punct,.
.,333,dependent,punct,moment
a,334,dependent,det,trouble
little,335,dependent,amod,trouble
trouble,336,head,det,a
trouble,336,head,amod,little
trouble,336,head,nmod,corpuscle
trouble,336,head,punct,.
about,337,dependent,case,corpuscle
that,338,dependent,det,corpuscle
white,339,dependent,amod,corpuscle
corpuscle,340,dependent,nmod,trouble
corpuscle,340,head,case,about
corpuscle,340,head,det,that
corpuscle,340,head,amod,white
.,341,dependent,punct,trouble
silence,342,head,vocative,all
silence,342,head,punct,.
",",343,dependent,punct,all
all,344,dependent,vocative,silence
all,344,head,punct,","
.,345,dependent,punct,silence
he,346,dependent,nsubj,peer
peer,347,head,nsubj,he
peer,347,head,advmod,sideways
peer,347,head,compound:prt,up
peer,347,head,conj,give
peer,347,head,parataxis,pause
peer,347,head,punct,.
sideways,348,dependent,advmod,peer
up,349,dependent,compound:prt,peer
and,350,dependent,cc,give
give,351,dependent,conj,peer
give,351,head,cc,and
give,351,head,obj,whistle
a,352,dependent,det,whistle
long,353,dependent,amod,whistle
slow,354,dependent,amod,whistle
whistle,355,dependent,obj,give
whistle,355,head,det,a
whistle,355,head,amod,long
whistle,355,head,amod,slow
whistle,355,head,nmod,call
of,356,dependent,case,call
call,357,dependent,nmod,whistle
call,357,head,case,of
",",358,dependent,punct,pause
then,359,dependent,advmod,pause
pause,360,dependent,parataxis,peer
pause,360,head,punct,","
pause,360,head,advmod,then
pause,360,head,advmod,awhile
pause,360,head,obl,attention
pause,360,head,advcl,glisten
awhile,361,dependent,advmod,pause
in,362,dependent,case,attention
rapt,363,dependent,amod,attention
attention,364,dependent,obl,pause
attention,364,head,case,in
attention,364,head,amod,rapt
",",365,dependent,punct,glisten
his,366,dependent,nmod:poss,tooth
even,367,dependent,advmod,white
white,368,dependent,amod,tooth
white,368,head,advmod,even
tooth,369,dependent,nsubj,glisten
tooth,369,head,nmod:poss,his
tooth,369,head,amod,white
glisten,370,dependent,advcl,pause
glisten,370,head,punct,","
glisten,370,head,nsubj,tooth
glisten,370,head,advmod,here
glisten,370,head,conj,there
glisten,370,head,obl,point
here,371,dependent,advmod,glisten
and,372,dependent,cc,there
there,373,dependent,conj,glisten
there,373,head,cc,and
with,374,dependent,case,point
gold,375,dependent,compound,point
point,376,dependent,obl,glisten
point,376,head,case,with
point,376,head,compound,gold
.,377,dependent,punct,peer
chrysostomos,378,head,punct,.
.,379,dependent,punct,chrysostomos
two,380,dependent,nummod,whistle
strong,381,dependent,amod,whistle
shrill,382,dependent,amod,whistle
whistle,383,dependent,nsubj,answer
whistle,383,head,nummod,two
whistle,383,head,amod,strong
whistle,383,head,amod,shrill
answer,384,head,nsubj,whistle
answer,384,head,obl,calm
answer,384,head,punct,.
through,385,dependent,case,calm
the,386,dependent,det,calm
calm,387,dependent,obl,answer
calm,387,head,case,through
calm,387,head,det,the
.,388,dependent,punct,answer
—,389,dependent,punct,thanks
thanks,390,dependent,discourse,cry
thanks,390,head,punct,—
thanks,390,head,vocative,chap
thanks,390,head,punct,","
",",391,dependent,punct,chap
old,392,dependent,amod,chap
chap,393,dependent,vocative,thanks
chap,393,head,punct,","
chap,393,head,amod,old
",",394,dependent,punct,thanks
he,395,dependent,nsubj,cry
cry,396,head,discourse,thanks
cry,396,head,nsubj,he
cry,396,head,advmod,briskly
cry,396,head,punct,.
briskly,397,dependent,advmod,cry
.,398,dependent,punct,cry
that,399,dependent,nsubj,do
will,400,dependent,aux,do
do,401,head,nsubj,that
do,401,head,aux,will
do,401,head,advmod,nicely
do,401,head,punct,.
nicely,402,dependent,advmod,do
.,403,dependent,punct,do
switch,404,head,obl,current
switch,404,head,parataxis,will
switch,404,head,punct,?
off,405,dependent,case,current
the,406,dependent,det,current
current,407,dependent,obl,switch
current,407,head,case,off
current,407,head,det,the
",",408,dependent,punct,will
will,409,dependent,parataxis,switch
will,409,head,punct,","
will,409,head,nsubj,you
you,410,dependent,nsubj,will
?,411,dependent,punct,switch
he,412,dependent,nsubj,skip
skip,413,head,nsubj,he
skip,413,head,compound:prt,off
skip,413,head,obj,gunrest
skip,413,head,conj,look
skip,413,head,punct,.
off,414,dependent,compound:prt,skip
the,415,dependent,det,gunrest
gunrest,416,dependent,obj,skip
gunrest,416,head,det,the
